start	end	F2:HeadMovement	F2:janej	F2:yes	F2:no	F2:word01	F2:Face	F2:pitch	F5:pitch	F2:intensity	F5:intensity	F2:x-pos	F2:y-pos	F2:weight	F2:velocity-r	F2:velocity-clock	F2:velocity-x	F2:velocity-y	F2:acceleration-r	F2:acceleration-clock	F2:acceleration-x	F2:acceleration-y	F2:jerk-r	F2:jerk-clock	F2:jerk-x	F2:jerk-y
7416	7420			0	0	1		587.9210719387906	214.16449441371168	19.636966768586454	21.070469108720257	387.921000	115.934000	0.867742	0.092087	3	0.092083	-0.000767	0.016151	3	0.016149	-0.000234	0.000550	9	-0.000549	0.000032
7420	7424			0	0	1		587.9210719387906	214.16449441371168	27.3310801487208	24.319639849840268	387.913000	115.928000	0.871770	0.122117	3	0.122117	-0.000333	0.011767	3	0.011765	0.000233	0.004816	9	-0.004816	0.000031
7424	7428			0	0	1		587.9210719387906	214.16449441371168	28.16184365580042	25.498361769506865	388.827000	115.940000	0.860795	0.137900	3	0.137900	0.000067	0.011558	9	-0.011558	-0.000057	0.005600	9	-0.005600	-0.000025
7428	7432			0	0	1		587.9210719387906	214.16449441371168	32.229812718993585	28.389977383529885	387.919000	115.916000	0.876250	0.077451	3	0.077450	0.000333	0.026641	9	-0.026641	0.000043	0.001073	9	-0.001070	0.000082
7432	7436			0	0	1		587.9210719387906	214.16449441371168	32.391008342837495	28.42964514561592	388.831000	115.924000	0.866749	0.015703	3	0.015700	-0.000317	0.017049	9	-0.017048	0.000234	0.001107	9	-0.001104	0.000085
7436	7440			0	0	1		587.9210719387906	214.16449441371168	37.05701564294144	34.00860833411636	388.826000	115.913000	0.870504	0.016509	3	0.016483	0.000917	0.024570	9	-0.024561	0.000688	0.000535	3	0.000534	0.000030
7440	7444			0	0	1		587.9210719387906	214.16449441371168	35.00195764020216	31.361665800563966	388.836000	115.936000	0.861858	0.060603	9	-0.060567	0.002100	0.021471	9	-0.021466	0.000453	0.003766	5	0.002292	0.002988
7444	7448			0	0	1		288.6939963331952	214.16449441371168	39.897771123771115	37.06495783822761	387.924000	115.932000	0.865153	0.060847	9	-0.060750	0.003433	0.018800	7	-0.008000	0.017013	0.004364	4	0.003182	0.002986
7448	7452			0	0	1		288.6939963331952	214.16449441371168	22.890202431879658	22.269378551706186	387.917000	115.929000	0.872711	0.140044	8	-0.123167	0.066650	0.025704	7	-0.011001	0.023231	0.004666	5	0.001411	0.004448
7452	7456			0	0	1		290.4598732621729	214.16449441371168	40.20746519430191	36.07348760427026	388.839000	115.939000	0.856548	0.157550	7	-0.108133	0.114583	0.040372	6	0.009200	0.039310	0.000888	1	0.000434	-0.000775
7456	7459			0	0	1		220.53793504635826	214.16449441371168	37.76163941788532	35.03770323832465	387.911000	115.947000	0.864047	0.226556	7	-0.082800	0.210883	0.023324	7	-0.006037	0.022529	0.015917	9	-0.015825	0.001710
7460	7468			0	0	1		220.53793504635826	214.16449441371168	20.35034816525833	22.65798815492189	387.921000	115.939000	0.859386	0.236689	7	-0.105250	0.212000	0.091780	8	-0.083341	0.038441	0.024160	9	-0.024160	0.000051
7464	7472	SideTurn		0	0	1		220.53793504635826	214.16449441371168	41.422518357683714	37.93260965100217	387.896000	116.897000	0.865896	0.537821	8	-0.429033	0.324317	0.174180	9	-0.170635	0.034963	0.018349	9	-0.018092	-0.003059
7468	7472	SideTurn		0	0	1		220.53793504635826	214.16449441371168	41.422518357683714	37.93260965100217	387.912000	116.903000	0.859826	0.949861	8	-0.866800	0.388450	0.190789	9	-0.189790	0.019495	0.013124	10	-0.011866	-0.005606
7472	7476	SideTurn		0	0	1		194.635102180201	214.16449441371168	40.572567519575486	36.908131030317705	387.843000	117.887000	0.877413	1.234574	8	-1.165900	0.406017	0.213304	9	-0.213296	-0.001814	0.006528	12	0.000973	-0.006455
7476	7480	SideTurn		0	0	1		194.635102180201	214.16449441371168	40.04735848343103	35.18958616725208	386.868000	116.924000	0.867835	1.678272	9	-1.635867	0.374883	0.200932	9	-0.199717	-0.022069	0.015513	2	0.014523	-0.005454
7480	7484	SideTurn		0	0	1		182.5933770329339	214.16449441371168	40.41586699162303	33.85453284512113	382.996000	118.844000	0.833046	1.982035	9	-1.959933	0.295167	0.129962	10	-0.125127	-0.035120	0.029488	3	0.029488	0.000078
7484	7488	SideTurn		0	0	1		176.44055584674769	214.16449441371168	40.68939718436563	36.79252203736763	380.063000	118.853000	0.878981	2.134495	9	-2.120367	0.245183	0.032462	10	-0.027833	-0.016706	0.035729	3	0.035728	-0.000323
7488	7492	SideTurn		0	0	1		171.76899027536533	214.16449441371168	41.05698652695423	36.491536889626104	379.027000	118.873000	0.873131	2.109428	9	-2.097267	0.226183	0.089963	2	0.084052	-0.032070	0.032489	3	0.032458	0.001412
7492	7496	SideTurn		0	0	1		171.3892949067624	214.16449441371168	36.33292712810548	31.550122533284863	375.171000	118.866000	0.843553	1.831771	9	-1.823067	0.178367	0.175143	3	0.174490	-0.015121	0.017296	3	0.016883	0.003755
7496	7500	SideTurn		0	0	1		161.60030311705356	214.16449441371168	39.92844677008753	36.84382246565225	374.162000	118.877000	0.857101	1.374212	9	-1.370783	0.097017	0.194051	3	0.193302	-0.017036	0.002643	6	0.000017	0.002643
7500	7504	SideTurn		0	0	1		154.79254645743382	214.16449441371168	38.328450560184095	33.792931728795146	373.208000	118.860000	0.852956	1.067152	9	-1.059317	0.129083	0.158794	3	0.158303	0.012479	0.012927	8	-0.010679	0.007286
7504	7508	SideTurn		0	0	1		82.77451328926755	214.16449441371168	38.94364583639423	36.20165723703282	372.269000	119.808000	0.881397	0.811114	9	-0.797933	0.145633	0.134875	3	0.133216	0.021094	0.016002	9	-0.016000	0.000263
7508	7512	SideTurn		0	0	1		82.77451328926755	214.16449441371168	47.54033972452477	51.34532313456524	372.211000	118.872000	0.891848	0.521972	8	-0.478550	0.208433	0.081956	3	0.079753	0.018875	0.019820	9	-0.019767	-0.001446
7512	7516	SideTurn		0	0	1		82.77451328926755	214.16449441371168	44.580234503826155	45.10249337264925	372.193000	119.819000	0.903683	0.533422	8	-0.476650	0.239467	0.011616	7	-0.006358	0.009721	0.018061	9	-0.017859	-0.002691
