start	end	M3:HeadMovement	M3:janej	M3:yes	M3:no	M3:word01	M3:Face	M3:pitch	F5:pitch	M3:intensity	F5:intensity	M3:x-pos	M3:y-pos	M3:weight	M3:velocity-r	M3:velocity-clock	M3:velocity-x	M3:velocity-y	M3:acceleration-r	M3:acceleration-clock	M3:acceleration-x	M3:acceleration-y	M3:jerk-r	M3:jerk-clock	M3:jerk-x	M3:jerk-y
9732	9736			0	0	1		164.39107598378283	164.39107598378283	39.298820322270075	39.298820322270075	372.553000	121.808000	0.880214	0.259820	7	-0.071633	0.249750	0.051235	2	0.036689	-0.035762	0.003606	7	-0.001030	0.003456
9736	9740			0	0	1		164.39107598378283	164.39107598378283	36.55557201467622	36.55557201467622	373.478000	121.813000	0.882394	0.168599	6	0.012517	0.168133	0.038304	2	0.029821	-0.024041	0.004247	6	-0.001009	0.004125
9740	9744			0	0	1		164.39107598378283	164.39107598378283	54.56491788607349	54.56491788607349	373.481000	121.835000	0.889301	0.123955	5	0.036150	0.118567	0.027897	2	0.026464	-0.008828	0.005804	7	-0.002157	0.005388
9744	9748			0	0	1		164.39107598378283	164.39107598378283	56.0363443921092	56.0363443921092	373.498000	121.833000	0.892330	0.221657	5	0.121000	0.185717	0.030704	4	0.026191	0.016024	0.003862	7	-0.001223	0.003663
9748	9752			0	0	1		145.4842269253708	145.4842269253708	57.459241564297265	57.459241564297265	373.520000	121.834000	0.887214	0.239789	4	0.185033	0.152517	0.016165	3	0.016107	-0.001364	0.003008	12	0.000320	-0.002991
9752	9756			0	0	1		145.4842269253708	145.4842269253708	55.971843890380654	55.971843890380654	373.526000	121.836000	0.884290	0.228564	5	0.155300	0.167700	0.016954	4	0.016241	0.004862	0.003556	2	0.003421	-0.000971
9756	9760			0	0	1		141.92822234851744	141.92822234851744	56.95904800013036	56.95904800013036	373.556000	122.818000	0.887632	0.287773	4	0.235783	0.164983	0.047003	3	0.046527	-0.006671	0.009955	1	0.006888	-0.007187
9760	9764			0	0	1		145.33115056161225	145.33115056161225	53.26680043556582	53.26680043556582	374.514000	122.851000	0.882242	0.380206	4	0.350450	0.147450	0.067928	2	0.058795	-0.034021	0.011180	1	0.006284	-0.009247
9764	9768			0	0	1		208.82397410087438	208.82397410087438	43.84441760334632	43.84441760334632	374.507000	122.825000	0.881505	0.485638	3	0.483300	0.047600	0.105337	2	0.082460	-0.065545	0.007034	1	0.004506	-0.005402
9768	9772			0	0	1		208.82397410087438	208.82397410087438	34.19221526263004	34.19221526263004	374.521000	122.831000	0.876346	0.692832	3	0.682417	-0.119683	0.114024	2	0.088547	-0.071839	0.001114	5	0.000596	0.000941
9772	9775			0	0	1		208.82397410087438	208.82397410087438	36.79401993853635	36.79401993853635	375.510000	122.812000	0.853027	0.889319	2	0.848150	-0.267450	0.098324	2	0.080249	-0.056812	0.009581	7	-0.006520	0.007020
9776	9780			0	0	1		208.82397410087438	208.82397410087438	47.02870040015743	47.02870040015743	376.527000	122.812000	0.841566	1.017061	2	0.965817	-0.318767	0.052656	2	0.047868	-0.021937	0.016583	7	-0.009810	0.013370
9780	9784			0	0	1		208.82397410087438	208.82397410087438	69.41364858109426	69.41364858109426	377.540000	121.824000	0.834344	1.088788	2	1.036400	-0.333667	0.029957	4	0.024024	0.017895	0.008568	8	-0.007008	0.004929
9784	9788			0	0	1		256.9780449972843	256.9780449972843	67.18668419467973	67.18668419467973	379.517000	120.809000	0.843402	1.083392	3	1.053967	-0.250783	0.013355	5	0.006662	0.011575	0.003288	2	0.003043	-0.001244
9788	9792			0	0	1		263.4887842302295	263.4887842302295	51.85165480200352	51.85165480200352	380.508000	120.843000	0.865280	1.109410	3	1.072567	-0.283533	0.044148	3	0.044020	-0.003368	0.005709	2	0.004728	-0.003200
9792	9796			0	0	1		314.00849975325696	314.00849975325696	41.74171301372623	41.74171301372623	381.495000	120.814000	0.882820	1.311444	3	1.268383	-0.333300	0.051136	3	0.050643	-0.007080	0.004833	2	0.003589	-0.003237
9796	9800			0	0	1		314.00849975325696	314.00849975325696	32.103326446218105	32.103326446218105	381.576000	120.818000	0.858151	1.375815	3	1.338817	-0.316917	0.045122	3	0.044353	-0.008295	0.002178	4	0.001760	0.001282
9800	9803			0	0	1		314.00849975325696	314.00849975325696	28.901882995188064	28.901882995188064	382.555000	121.809000	0.854992	1.396255	3	1.359767	-0.317117	0.048670	3	0.048642	0.001638	0.007695	4	0.006680	0.003818
9804	9808			0	0	0		314.00849975325696	314.00849975325696	25.75853220586014	25.75853220586014	384.565000	119.813000	0.821987	1.503752	3	1.476850	-0.283167	0.095589	3	0.094537	0.014140	0.010806	6	0.001475	0.010705
