start	end	F4:HeadMovement	F4:janej	F4:yes	F4:no	F4:word01	F4:Face	F4:pitch	M1:pitch	F4:intensity	M1:intensity	F4:x-pos	F4:y-pos	F4:weight	F4:velocity-r	F4:velocity-clock	F4:velocity-x	F4:velocity-y	F4:acceleration-r	F4:acceleration-clock	F4:acceleration-x	F4:acceleration-y	F4:jerk-r	F4:jerk-clock	F4:jerk-x	F4:jerk-y
8076	8080			0	0	0		176.75590487756236	158.36677975257805	36.65070091608864	34.15097149069081	415.620000	98.731600	0.831347	0.060512	7	-0.033167	0.050613	0.032028	1	0.013731	-0.028935	0.007087	10	-0.006684	-0.002357
8080	8084			0	0	0		176.75590487756236	158.36677975257805	50.63439672630001	50.41745930903194	415.654000	98.739500	0.828187	0.048488	11	-0.015767	-0.045853	0.029921	12	-0.005959	-0.029322	0.010236	9	-0.010021	0.002089
8084	8088			0	0	0		176.75590487756236	158.36677975257805	54.834209065081765	53.115251457043506	415.643000	98.751100	0.834456	0.093334	11	-0.049783	-0.078948	0.048108	9	-0.047139	-0.009606	0.011142	7	-0.004073	0.010371
8088	8092			0	0	0		176.75590487756236	158.36677975257805	51.62260344791322	48.70313265279815	415.629000	98.755900	0.838924	0.217864	9	-0.212617	-0.047527	0.052585	8	-0.040502	0.033538	0.006407	6	0.001402	0.006251
8092	8096			0	0	0		176.75590487756236	158.36677975257805	51.905163354508886	48.50002600858794	415.616000	97.775300	0.828861	0.220205	9	-0.214700	0.048932	0.035846	7	-0.022508	0.027898	0.006211	3	0.006190	-0.000520
8096	8100			0	0	0		176.75590487756236	158.36677975257805	46.60718621322228	41.05446841973975	414.652000	97.774700	0.839364	0.274123	9	-0.266467	0.064333	0.023755	7	-0.012537	0.020177	0.005551	2	0.004506	-0.003242
8100	8104			0	0	0		176.75590487756236	158.36677975257805	39.36097772033418	38.53737746104829	414.638000	98.751400	0.851614	0.295593	8	-0.284433	0.080455	0.010967	6	0.002479	0.010683	0.006923	1	0.004856	-0.004934
8104	8108			0	0	0		176.75590487756236	158.36677975257805	44.89110575404678	44.69406268408535	413.677000	98.735400	0.853175	0.287546	8	-0.270133	0.098543	0.017249	3	0.017192	-0.001400	0.006456	1	0.003674	-0.005308
8108	8112			0	0	0		176.75590487756236	158.36677975257805	52.71847959657522	51.53061123499655	414.629000	99.713800	0.863707	0.251441	8	-0.222767	0.116608	0.031846	2	0.027453	-0.016139	0.004266	11	-0.001476	-0.004003
8112	8116			0	0	0		176.75590487756236	158.36677975257805	52.96842170725989	51.670013622515526	413.638000	98.748700	0.884087	0.152923	8	-0.143500	0.052850	0.035744	1	0.012659	-0.033427	0.004000	9	-0.003936	-0.000717
8116	8120			0	0	0		176.75590487756236	158.36677975257805	52.87584878395623	49.80932353154037	413.607000	98.753900	0.884226	0.175509	9	-0.173367	-0.027340	0.024389	12	-0.005620	-0.023733	0.006117	7	-0.003600	0.004946
