start	end	M6:HeadMovement	M6:janej	M6:yes	M6:no	M6:word01	M6:Face	M6:pitch	F1:pitch	M6:intensity	F1:intensity	M6:x-pos	M6:y-pos	M6:weight	M6:velocity-r	M6:velocity-clock	M6:velocity-x	M6:velocity-y	M6:acceleration-r	M6:acceleration-clock	M6:acceleration-x	M6:acceleration-y	M6:jerk-r	M6:jerk-clock	M6:jerk-x	M6:jerk-y
13760	13764			0	0	1		198.60040360522004	177.0346657549548	44.85104938964283	44.75386663775028	213.741000	84.649200	0.854013	0.097003	9	-0.095283	0.018187	0.034580	4	0.028328	0.019832	0.003618	5	0.002259	0.002826
13764	13768			0	0	1		198.60040360522004	177.0346657549548	44.765280663299194	42.16231191566146	213.750000	85.617400	0.850570	0.073274	7	-0.032700	0.065573	0.023035	4	0.021351	0.008646	0.003218	1	0.001928	-0.002577
13768	13772			0	0	1		198.60040360522004	177.0346657549548	32.61041982698074	42.75039756005937	213.740000	85.617000	0.840231	0.044048	7	-0.030250	0.032018	0.030907	3	0.030869	0.001516	0.006719	12	-0.000318	-0.006711
13772	13776			0	0	1		176.6863344641048	177.0346657549548	53.88804263936005	51.08301475402831	213.756000	86.570400	0.845555	0.092216	5	0.046967	0.079360	0.034059	2	0.029526	-0.016977	0.007877	11	-0.003126	-0.007230
13776	13780			0	0	1		188.22464946759095	187.15872025443483	53.15175585817809	50.93837387233728	214.688000	85.618900	0.863032	0.125922	3	0.125917	-0.001182	0.053691	1	0.017249	-0.050845	0.010022	10	-0.007906	-0.006159
13780	13784			0	0	1		187.35586978378095	197.51864812943438	47.2287965402314	46.500254086897954	214.672000	86.569600	0.855417	0.192244	1	0.124517	-0.146470	0.061403	11	-0.021983	-0.057333	0.005478	8	-0.004655	0.002888
13784	13788			0	0	1		186.96957619191627	197.51864812943438	47.2287965402314	46.500254086897954	213.755000	85.618300	0.849485	0.215437	12	0.046817	-0.210288	0.031997	11	-0.017629	-0.026703	0.012453	6	0.000852	0.012423
13788	13792			0	0	1		186.96957619191627	197.51864812943438	30.78712338026373	37.904006447812165	214.677000	85.596900	0.860768	0.259247	12	0.030033	-0.257502	0.016749	8	-0.012089	0.011593	0.010997	6	0.002509	0.010707
13792	13795			0	0	1		186.96957619191627	197.51864812943438	28.149824650002166	28.156317926142137	214.698000	84.646400	0.878408	0.144829	12	-0.000267	-0.144828	0.045383	6	-0.002911	0.045289	0.011097	5	0.003027	0.010676
13796	13800			0	0	0		186.96957619191627	197.51864812943438	17.925551156643426	20.215964305025416	214.672000	84.635200	0.868661	0.100639	1	0.032133	-0.095372	0.063211	6	0.010979	0.062250	0.004107	5	0.001853	0.003665
13800	13804			0	0	0		186.96957619191627	197.51864812943438	16.498883233593926	18.025403243828844	213.749000	84.643500	0.857318	0.115648	5	0.062167	0.097518	0.079083	6	0.004146	0.078974	0.001777	10	-0.001636	-0.000694
13804	13808			0	0	0		186.96957619191627	197.51864812943438	16.64317925421927	18.466588101813027	214.675000	84.649600	0.857895	0.212095	6	0.015450	0.211532	0.051968	6	-0.006375	0.051576	0.009402	12	-0.001034	-0.009345
